Removed Elements, Allowed Elements, Prevented, Allowed
, Mo-Ta-V-W-Ti-Zr-Hf-Nb-Cr-Al-Si-Co-Ni, 0, 619
Ni, Mo-Ta-V-W-Ti-Zr-Hf-Nb-Cr-Al-Si-Co, 30, 589
Co-Ni, Mo-Ta-V-W-Ti-Zr-Hf-Nb-Cr-Al-Si, 47, 572
Si-Co-Ni, Mo-Ta-V-W-Ti-Zr-Hf-Nb-Cr-Al, 82, 537
Cr-Si-Co-Ni, Mo-Ta-V-W-Ti-Zr-Hf-Nb-Al, 175, 444
W-Cr-Si-Co-Ni, Mo-Ta-V-Ti-Zr-Hf-Nb-Al, 257, 362
W-Cr-Al-Si-Co-Ni, Mo-Ta-V-Ti-Zr-Hf-Nb, 349, 270
V-W-Cr-Al-Si-Co-Ni, Mo-Ta-Ti-Zr-Hf-Nb, 446, 173
Mo-V-W-Cr-Al-Si-Co-Ni, Ta-Ti-Zr-Hf-Nb, 505, 114
Mo-Ta-V-W-Cr-Al-Si-Co-Ni, Ti-Zr-Hf-Nb, 590, 29
Mo-Ta-V-W-Ti-Zr-Hf-Nb-Al-Si, Cr-Co-Ni, 608, 11
Mo-Ta-V-W-Ti-Zr-Hf-Nb-Cr-Al-Si, Co-Ni, 619, 0
Mo-Ta-V-W-Ti-Zr-Hf-Nb-Cr-Al-Si-Co, Ni, 619, 0
Mo-Ta-V-W-Ti-Zr-Hf-Nb-Cr-Al-Si-Co-Ni, , 619, 0
